Wall time,Step,Value
1731225356.6749558,17344,-143.2686004638672
1731225357.0936246,17363,-142.72459411621094
1731225357.807904,17398,-141.52516174316406
1731225358.5140178,17429,-137.48721313476562
1731225359.2826166,17468,-136.3214874267578
1731225359.5213466,17478,-140.02662658691406
1731225361.4235115,17567,-136.8466033935547
1731225361.7695115,17581,-137.48170471191406
1731225362.3790722,17610,-136.18601989746094
1731225362.5260904,17618,-136.76068115234375
1731225363.1148055,17647,-140.90020751953125
1731225365.2015564,17746,-141.19549560546875
1731225370.1536055,17977,-142.61358642578125
1731225370.745547,18005,-139.5095977783203
1731225370.916572,18014,-145.3574981689453
1731225371.52478,18042,-138.16131591796875
1731225372.3265266,18077,-139.522216796875
1731225372.54055,18089,-138.6805419921875
1731225373.9404154,18153,-140.6773223876953
1731225376.7883484,18288,-138.1232452392578
1731225377.9374485,18342,-144.6343231201172
1731225380.791574,18475,-138.44293212890625
1731225380.8096426,18476,-144.12835693359375
1731225383.7625778,18616,-143.10643005371094
1731225386.4895225,18737,-139.42381286621094
1731225386.6189115,18744,-141.1846466064453
1731225389.2767143,18869,-137.25250244140625
1731225391.719271,18982,-140.1714324951172
1731225392.1514482,19001,-134.02603149414062
1731225392.7273717,19029,-141.2279815673828
1731225393.2065096,19051,-142.05984497070312
1731225393.5929203,19072,-141.7738800048828
1731225395.0673296,19140,-138.28985595703125
1731225396.1925702,19193,-147.6304931640625
1731225397.495578,19251,-137.9728240966797
1731225398.409839,19295,-138.8634796142578
1731225403.0567691,19509,-138.3563690185547
1731225403.4722304,19527,-133.04779052734375
1731225403.8750994,19549,-138.89646911621094
1731225404.056695,19555,-136.20574951171875
1731225406.375647,19664,-141.09600830078125
1731225406.7253451,19678,-135.46600341796875
1731225406.92389,19689,-138.67047119140625
1731225408.0916133,19744,-139.36981201171875
1731225408.3940177,19755,-138.56407165527344
1731225408.5061107,19761,-138.08749389648438
1731225409.7368903,19820,-143.47125244140625
1731225410.2922223,19847,-136.87600708007812
1731225410.787664,19870,-139.96102905273438
1731225412.299277,19940,-136.35797119140625
1731225412.78638,19962,-139.55503845214844
1731225413.4752462,19995,-143.2369842529297
1731225413.9981923,20019,-138.3314208984375
1731225414.8575847,20059,-141.2707977294922
1731225415.252138,20077,-139.26841735839844
1731225415.3572598,20083,-138.3437957763672
1731225415.4112663,20086,-137.09140014648438
1731225416.9981322,20162,-137.058837890625
1731225417.015137,20163,-135.65606689453125
1731225418.0252757,20210,-138.05857849121094
1731225418.690325,20241,-139.23233032226562
1731225419.2585917,20268,-137.58523559570312
1731225419.3171875,20271,-138.2620086669922
1731225419.473725,20276,-137.1396026611328
1731225420.9308925,20347,-147.3392333984375
1731225421.1933122,20358,-138.2744140625
1731225422.2439055,20407,-137.97914123535156
1731225423.4698632,20464,-144.9563446044922
1731225424.472053,20509,-135.5486297607422
1731225425.3666823,20550,-136.21278381347656
1731225425.6006382,20563,-139.3012237548828
1731225425.618648,20564,-138.2202911376953
1731225426.126651,20586,-138.29754638671875
1731225426.4983063,20602,-139.59262084960938
1731225428.8131702,20713,-137.7816619873047
1731225429.2810373,20734,-139.63470458984375
1731225430.7623305,20803,-140.8060760498047
1731225430.8233385,20806,-142.23472595214844
1731225430.8414507,20807,-138.2038116455078
1731225431.8896804,20855,-139.12660217285156
1731225432.388662,20879,-140.23995971679688
1731225435.3051524,21011,-137.0084686279297
1731225437.0458665,21091,-142.0247344970703
1731225437.3529942,21104,-136.52333068847656
1731225438.7147622,21168,-139.0302276611328
1731225440.1692932,21233,-138.3005828857422
1731225440.6493676,21256,-135.92539978027344
1731225442.3937006,21340,-139.24658203125
1731225442.444223,21343,-135.5548095703125
1731225442.5366626,21348,-141.95668029785156
1731225444.0110292,21415,-141.94931030273438
1731225444.4125206,21433,-136.43377685546875
1731225446.0246875,21508,-141.67320251464844
1731225446.813163,21547,-142.31231689453125
1731225450.2762609,21705,-144.4064178466797
1731225451.1013517,21747,-139.08470153808594
1731225451.1203496,21748,-138.7046661376953
1731225452.510426,21813,-135.53515625
1731225452.6169364,21819,-140.22889709472656
1731225453.1598196,21845,-137.53118896484375
1731225453.6051621,21866,-141.35508728027344
1731225453.7152412,21872,-140.82394409179688
1731225457.1697874,22030,-142.5555419921875
1731225462.3154585,22269,-140.00929260253906
1731225462.6362653,22282,-142.60702514648438
1731225463.3146167,22316,-138.90731811523438
